D,ntrees,min_samples_split,min_samples_leaf,avaucTrain,stdTrain,avaucVal,stdVal,auctest,type
3,20,3,3,0.912742681294,0.00972989463534,0.655261317,0.0541717221293,0.695724137931,trad_RF
3,20,3,6,0.896223605766,0.0131192598437,0.649575223853,0.017727594833,0.708,trad_RF
3,20,9,3,0.901342007687,0.00650998873343,0.659246362393,0.0338854549232,0.708965517241,trad_RF
3,20,9,6,0.896223605766,0.0131192598437,0.649575223853,0.017727594833,0.708,trad_RF
3,50,3,3,0.931411527729,0.00918769228076,0.661315834473,0.0278733098391,0.71075862069,trad_RF
3,50,3,6,0.927543850907,0.00900377919206,0.660029458401,0.0435275974321,0.724,trad_RF
3,50,9,3,0.930072078651,0.00356125238656,0.644023209178,0.0593742085328,0.72524137931,trad_RF
3,50,9,6,0.927543850907,0.00900377919206,0.660029458401,0.0435275974321,0.724,trad_RF
3,100,3,3,0.944843155068,0.00272941449754,0.669512498445,0.0521576888178,0.735586206897,trad_RF
3,100,3,6,0.932574755447,0.00545170637464,0.654972951125,0.0427932461982,0.735724137931,trad_RF
3,100,9,3,0.940105097796,0.00620835006072,0.673044786096,0.0407724758808,0.735448275862,trad_RF
3,100,9,6,0.932574755447,0.00545170637464,0.654972951125,0.0427932461982,0.735724137931,trad_RF
3,250,3,3,0.945817943352,0.00400517547653,0.655576887203,0.0372678201732,0.743862068966,trad_RF
3,250,3,6,0.935240934029,0.00432019914011,0.667362190648,0.0555083111277,0.735448275862,trad_RF
3,250,9,3,0.941604851198,0.00303946726032,0.657007446213,0.0363827211449,0.740965517241,trad_RF
3,250,9,6,0.935240934029,0.00432019914011,0.667362190648,0.0555083111277,0.735448275862,trad_RF
3,500,3,3,0.94808299538,0.00238059312709,0.664948000871,0.0405764604852,0.741379310345,trad_RF
3,500,3,6,0.937046784522,0.00533243233426,0.666535567715,0.044664367911,0.740137931034,trad_RF
3,500,9,3,0.94472620015,0.00452004728557,0.654199959582,0.0385708504333,0.746206896552,trad_RF
3,500,9,6,0.937046784522,0.00533243233426,0.666535567715,0.044664367911,0.740137931034,trad_RF
10,20,3,3,0.997175203667,0.00199213922364,0.649237890188,0.0476127006965,0.662689655172,trad_RF
10,20,3,6,0.980021436731,0.00181057627607,0.660865408531,0.0667003218579,0.672827586207,trad_RF
10,20,9,3,0.993640589943,0.00204635523953,0.634833198607,0.0501158512555,0.655448275862,trad_RF
10,20,9,6,0.980021436731,0.00181057627607,0.660865408531,0.0667003218579,0.672827586207,trad_RF
10,50,3,3,0.999255467309,0.000503686495877,0.702737921278,0.0471272132843,0.709793103448,trad_RF
10,50,3,6,0.989846537797,0.00183669227856,0.657261612362,0.0448951413175,0.697793103448,trad_RF
10,50,9,3,0.998155540393,0.000807581325651,0.686335266136,0.0428279158224,0.71475862069,trad_RF
10,50,9,6,0.989846537797,0.00183669227856,0.657261612362,0.0448951413175,0.697793103448,trad_RF
10,100,3,3,0.999748908199,0.000288429277759,0.667591872901,0.0445394577159,0.708413793103,trad_RF
10,100,3,6,0.991943315803,0.00177329485048,0.673835654769,0.0375573452814,0.724689655172,trad_RF
10,100,9,3,0.998630144688,0.000271261063204,0.677240082079,0.0513026599496,0.734068965517,trad_RF
10,100,9,6,0.991943315803,0.00177329485048,0.673835654769,0.0375573452814,0.724689655172,trad_RF
10,250,3,3,0.999946847386,7.07852488796e-05,0.679711789578,0.0450252593683,0.724137931034,trad_RF
10,250,3,6,0.991958907024,0.00190056721335,0.671902592961,0.052884094413,0.728137931034,trad_RF
10,250,9,3,0.998828828138,0.000504310581626,0.674135679642,0.051443327766,0.725931034483,trad_RF
10,250,9,6,0.991958907024,0.00190056721335,0.671902592961,0.052884094413,0.728137931034,trad_RF
10,500,3,3,0.999964633068,4.33154684843e-05,0.670416070762,0.051144219704,0.727724137931,trad_RF
10,500,3,6,0.993535747689,0.00156685709321,0.67814171123,0.0509354655536,0.734344827586,trad_RF
10,500,9,3,0.99886140328,0.000158026212737,0.676830073996,0.040052966502,0.725103448276,trad_RF
10,500,9,6,0.993535747689,0.00156685709321,0.67814171123,0.0509354655536,0.734344827586,trad_RF
3,20,3,3,0.897601341337,0.0171775441592,0.670924403059,0.074685649226,0.72124137931,tradwnxG_RF
3,20,3,6,0.885351404583,0.0158628325869,0.640931631638,0.0520653798188,0.676206896552,tradwnxG_RF
3,20,9,3,0.903635550986,0.0058209011224,0.657602832359,0.0368099018748,0.698206896552,tradwnxG_RF
3,20,9,6,0.885351404583,0.0158628325869,0.640931631638,0.0520653798188,0.676206896552,tradwnxG_RF
3,50,3,3,0.930550694945,0.00939993910131,0.652852568089,0.0680332273566,0.688413793103,tradwnxG_RF
3,50,3,6,0.917206935522,0.00641210904997,0.669551361771,0.0645454399694,0.715448275862,tradwnxG_RF
3,50,9,3,0.929519272295,0.0172893461759,0.657190881109,0.0691415655382,0.689103448276,tradwnxG_RF
3,50,9,6,0.917206935522,0.00641210904997,0.669551361771,0.0645454399694,0.715448275862,tradwnxG_RF
3,100,3,3,0.942794521064,0.00188806347565,0.666918371471,0.0684355585702,0.695172413793,tradwnxG_RF
3,100,3,6,0.927672033675,0.00230599753664,0.682192435642,0.0655809309353,0.698620689655,tradwnxG_RF
3,100,9,3,0.938312592953,0.00505406189384,0.666342805621,0.0635223977006,0.695586206897,tradwnxG_RF
3,100,9,6,0.927672033675,0.00230599753664,0.682192435642,0.0655809309353,0.698620689655,tradwnxG_RF
3,250,3,3,0.948268080833,0.0050893189754,0.668381187041,0.0590386543137,0.694068965517,tradwnxG_RF
3,250,3,6,0.930737834312,0.00541372553501,0.660772913817,0.0689262719974,0.687586206897,tradwnxG_RF
3,250,9,3,0.942559490042,0.00583610319088,0.680816673921,0.0642822703198,0.68924137931,tradwnxG_RF
3,250,9,6,0.930737834312,0.00541372553501,0.660772913817,0.0689262719974,0.687586206897,tradwnxG_RF
3,500,3,3,0.947661502175,0.00349894895026,0.671411360527,0.0574539299866,0.685103448276,tradwnxG_RF
3,500,3,6,0.933337380471,0.00355840797877,0.671753357791,0.0637833955532,0.687310344828,tradwnxG_RF
3,500,9,3,0.945718556907,0.00253046581561,0.661030577664,0.0688230296332,0.688413793103,tradwnxG_RF
3,500,9,6,0.933337380471,0.00355840797877,0.671753357791,0.0637833955532,0.687310344828,tradwnxG_RF
10,20,3,3,0.997212924774,0.00134754355013,0.659162028976,0.0872757597846,0.654827586207,tradwnxG_RF
10,20,3,6,0.983424935348,0.00540513986884,0.622188627036,0.0519117364388,0.638896551724,tradwnxG_RF
10,20,9,3,0.994351356031,0.00155256133932,0.636577773287,0.0776132122126,0.683172413793,tradwnxG_RF
10,20,9,6,0.983424935348,0.00540513986884,0.622188627036,0.0519117364388,0.638896551724,tradwnxG_RF
10,50,3,3,0.99966266936,0.000415953194747,0.653325923393,0.0490441807956,0.674482758621,tradwnxG_RF
10,50,3,6,0.989823599761,0.00254524595774,0.649410443353,0.065785108584,0.671586206897,tradwnxG_RF
10,50,9,3,0.998476257647,0.000993095127025,0.658209100236,0.049161840226,0.660275862069,tradwnxG_RF
10,50,9,6,0.989823599761,0.00254524595774,0.649410443353,0.065785108584,0.671586206897,tradwnxG_RF
10,100,3,3,0.999928579369,0.000103756596626,0.67805932098,0.0613314934865,0.671034482759,tradwnxG_RF
10,100,3,6,0.992292995482,0.00150744686802,0.690043216018,0.0553415074113,0.674068965517,tradwnxG_RF
10,100,9,3,0.999274671246,0.000664742976365,0.653025121254,0.0675196935933,0.695586206897,tradwnxG_RF
10,100,9,6,0.992292995482,0.00150744686802,0.690043216018,0.0553415074113,0.674068965517,tradwnxG_RF
10,250,3,3,1.0,0.0,0.657305139286,0.0705473709667,0.673655172414,tradwnxG_RF
10,250,3,6,0.992828964853,0.00160770510408,0.675711198856,0.0713547137654,0.674206896552,tradwnxG_RF
10,250,9,3,0.999661675943,0.000241263877299,0.666750093272,0.0692022265239,0.679172413793,tradwnxG_RF
10,250,9,6,0.992828964853,0.00160770510408,0.675711198856,0.0713547137654,0.674206896552,tradwnxG_RF
10,500,3,3,1.0,0.0,0.669631808855,0.0678465780221,0.672275862069,tradwnxG_RF
10,500,3,6,0.994574897272,0.000620791308613,0.665270955105,0.0648364113559,0.672275862069,tradwnxG_RF
10,500,9,3,0.999804897323,0.000102687228268,0.680660443353,0.0586992850326,0.675862068966,tradwnxG_RF
10,500,9,6,0.994574897272,0.000620791308613,0.665270955105,0.0648364113559,0.672275862069,tradwnxG_RF
